datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,ZILUSDT,66c5c37033a1faa0652bd127,Binance,5m,251037041.0,3471842.27703,0.7115,2024-08-21 18:37:36,178612854.6715,-173007.2594000101,-101970.0,-0.0009676786,-0.0004060301,0.01382,0.01382,0.01382,0.01382,129752.0
2024-08-21 10:40:00,ZILUSDT,66c5c43675fa436123578e87,Binance,5m,250968964.0,3470900.77212,0.7116,2024-08-21 18:40:54,178589514.7824,-23339.8890999854,-68077.0,-0.0001306731,-0.0002711831,0.01383,0.01383,0.01382,0.01383,225522.0
2024-08-21 10:45:00,ZILUSDT,66c5c54b32c70d8ca7f02e1a,Binance,5m,250881771.0,3474948.35721474,0.7114,2024-08-21 18:45:31,178477291.8894,-112222.8930000067,-87193.0,-0.0006283846,-0.0003474254,0.01385,0.01385,0.01385,0.01385,59630.0
2024-08-21 10:50:00,ZILUSDT,66c5c6850d284892836482e3,Binance,5m,250802211.0,3483642.71079,0.7106,2024-08-21 18:50:45,178220051.1366,-257240.7528000176,-79560.0,-0.001441308,-0.0003171215,0.01389,0.01391,0.01389,0.01391,105029.0
2024-08-21 10:55:00,ZILUSDT,66c5c7ae0788cec8cdab26db,Binance,5m,250773979.0,3489349.39147928,0.7097,2024-08-21 18:55:42,177974292.8963,-245758.2402999997,-28232.0,-0.0013789595,-0.0001125668,0.01391,0.01392,0.01391,0.01392,816.0
2024-08-21 11:00:00,ZILUSDT,66c5c8d4d0a6235fd39c1ef0,Binance,5m,250905187.0,3495109.25491,0.7095,2024-08-21 19:00:36,178017230.1765,42937.2802000046,131208.0,0.0002412555,0.0005232122,0.01392,0.01393,0.01391,0.01393,462212.0
2024-08-21 11:05:00,ZILUSDT,66c5ca01cd9cfc74bfecfeac,Binance,5m,251009103.0,3489026.5317,0.711,2024-08-21 19:05:37,178467472.23299998,450242.0564999878,103916.0,0.0025292049,0.0004141644,0.01389,0.01389,0.01386,0.01388,1152939.0
2024-08-21 11:10:00,ZILUSDT,66c5cb2bb4d7755ce8dab50e,Binance,5m,250786120.0,3480911.3456,0.7125,2024-08-21 19:10:35,178685110.5,217638.2670000196,-222983.0,0.0012194842,-0.0008883463,0.01388,0.01388,0.01386,0.01386,342520.0
2024-08-21 11:15:00,ZILUSDT,66c5cc56f5f1cc5b477258a2,Binance,5m,250649310.0,3472039.3589958,0.7134,2024-08-21 19:15:34,178813217.754,128107.2540000081,-136810.0,0.0007169442,-0.0005455246,0.01385,0.01385,0.01383,0.01384,1164242.0
2024-08-21 11:20:00,ZILUSDT,66c5cd8943e6d4110ddc65a1,Binance,5m,250298068.0,3462856.24991524,0.7141,2024-08-21 19:20:41,178737850.3588,-75367.3952000141,-351242.0,-0.0004214867,-0.0014013284,0.01382,0.01383,0.01382,0.01383,185183.0
2024-08-21 11:25:00,ZILUSDT,66c5cead5e8107c04793f2f5,Binance,5m,250325779.0,3462005.52357,0.7142,2024-08-21 19:25:33,178782671.3618,44821.0029999912,27711.0,0.0002507639,0.000110712,0.01382,0.01383,0.01382,0.01382,361090.0
2024-08-21 11:30:00,ZILUSDT,66c5cfe17bc94cd7f1c05fa5,Binance,5m,250093762.0,3458796.72846,0.7145,2024-08-21 19:30:41,178691992.949,-90678.4127999842,-232017.0,-0.0005071991,-0.0009268602,0.01382,0.01382,0.0138,0.01381,996649.0
2024-08-21 11:35:00,ZILUSDT,66c5d1014a4d6639b17eb31f,Binance,5m,251336533.0,3468444.1554,0.7237,2024-08-21 19:35:29,181892248.9321,3200255.983099997,1242771.0,0.0179093418,0.0049692203,0.01379,0.01379,0.01379,0.01379,112755.0
2024-08-21 11:40:00,ZILUSDT,66c5d22e59906877aa08d0ad,Binance,5m,251287624.0,3465256.33496,0.7239,2024-08-21 19:40:30,181907111.0136,14862.0814999938,-48909.0,8.17082e-05,-0.0001945957,0.01378,0.01379,0.01378,0.01379,806123.0
2024-08-21 11:45:00,ZILUSDT,66c5d368f0e99417ad49d9f9,Binance,5m,251323967.0,3461851.93048282,0.7238,2024-08-21 19:45:44,181908287.3146,1176.300999999,36343.0,6.4665e-06,0.0001446271,0.01377,0.01377,0.01376,0.01377,365810.0
2024-08-21 11:50:00,ZILUSDT,66c5d49371bfb838c7807c60,Binance,5m,251028292.0,3458926.36631676,0.7239,2024-08-21 19:50:43,181719380.5788,-188906.735799998,-295675.0,-0.0010384724,-0.0011764696,0.01377,0.01378,0.01375,0.01376,697839.0
2024-08-21 11:55:00,ZILUSDT,66c5d5be5421c7fdf1dca0db,Binance,5m,250673071.0,3456781.64909,0.724,2024-08-21 19:55:42,181487303.404,-232077.1748000085,-355221.0,-0.0012771185,-0.0014150636,0.01378,0.01379,0.01378,0.01379,263124.0
2024-08-21 12:00:00,ZILUSDT,66c5d6e84c1e6610b6c52e6c,Binance,5m,250470772.0,3449345.7130594,0.7244,2024-08-21 20:00:40,181441027.2368,-46276.1671999693,-202299.0,-0.0002549829,-0.0008070233,0.01377,0.01378,0.01376,0.01376,669802.0
2024-08-21 12:05:00,ZILUSDT,66c5d817194a37119a33e0af,Binance,5m,250400313.0,3447554.07743721,0.7233,2024-08-21 20:05:43,181114546.3929,-326480.8438999951,-70459.0,-0.0017993772,-0.0002813063,0.01377,0.01377,0.01376,0.01377,198647.0
2024-08-21 12:10:00,ZILUSDT,66c5d93e030d4af13f4381c5,Binance,5m,251106445.0,3454036.94971515,0.7236,2024-08-21 20:10:38,181700623.602,586077.2090999782,706132.0,0.0032359478,0.0028200124,0.01376,0.01377,0.01374,0.01375,2072841.0
2024-08-21 12:15:00,ZILUSDT,66c5da651a353e7689c38d8a,Binance,5m,252185856.0,3467555.52,0.7231,2024-08-21 20:15:33,182355592.4736,654968.871600002,1079411.0,0.0036046595,0.0042986193,0.01375,0.01375,0.01373,0.01373,320864.0
2024-08-21 12:20:00,ZILUSDT,66c5db8b87429915e1a27a64,Binance,5m,251800099.0,3458031.19159076,0.7229,2024-08-21 20:20:27,182026291.5671,-329300.9065000117,-385757.0,-0.0018058174,-0.0015296536,0.01374,0.01374,0.01373,0.01373,105353.0
2024-08-21 12:25:00,ZILUSDT,66c5dcc14410e87fb6578636,Binance,5m,251785279.0,3466879.34575401,0.7222,2024-08-21 20:25:37,181839328.4938,-186963.073300004,-14820.0,-0.0010271213,-5.88562e-05,0.01376,0.01376,0.01376,0.01376,111967.0
2024-08-21 12:30:00,ZILUSDT,66c5ddf02a76f630801dddcc,Binance,5m,258490146.0,3580088.5221,0.7202,2024-08-21 20:30:40,186164603.1492,4325274.655400008,6704867.0,0.0237862441,0.026629305,0.01385,0.01386,0.01384,0.01385,1104341.0
2024-08-21 12:35:00,ZILUSDT,66c5df15b57aac33cb36d615,Binance,5m,257825892.0,3576462.79998504,0.7189,2024-08-21 20:35:33,185351033.7588,-813569.3903999925,-664254.0,-0.0043701615,-0.0025697459,0.01386,0.01386,0.01385,0.01385,296906.0
2024-08-21 12:40:00,ZILUSDT,66c5e048ceb837855906c285,Binance,5m,257515733.0,3570530.31760757,0.7186,2024-08-21 20:40:40,185050805.7338,-300228.025000006,-310159.0,-0.0016197807,-0.0012029785,0.01386,0.01387,0.01386,0.01386,26171.0
