,symbol,rate,time
0,BTCUSDT,-0.00002403,2020-01-01 00:00:00
1,BTCUSDT,-0.00012359,2020-01-01 08:00:00
2,BTCUSDT,-0.00012383,2020-01-01 16:00:00
3,BTCUSDT,-0.00009664,2020-01-02 00:00:00
4,BTCUSDT,0.00003662,2020-01-02 08:00:00
5,BTCUSDT,0.00010000,2020-01-02 16:00:00
6,BTCUSDT,0.00000104,2020-01-03 00:00:00
7,BTCUSDT,-0.00001664,2020-01-03 08:00:00
8,BTCUSDT,-0.00001553,2020-01-03 16:00:00
9,BTCUSDT,0.00010000,2020-01-04 00:00:00
10,BTCUSDT,0.00010000,2020-01-04 08:00:00
11,BTCUSDT,0.00000084,2020-01-04 16:00:00
12,BTCUSDT,0.00007387,2020-01-05 00:00:00
13,BTCUSDT,0.00010000,2020-01-05 08:00:00
14,BTCUSDT,0.00010000,2020-01-05 16:00:00
15,BTCUSDT,0.00010000,2020-01-06 00:00:00
16,BTCUSDT,0.00010000,2020-01-06 08:00:00
17,BTCUSDT,0.00010000,2020-01-06 16:00:00
18,BTCUSDT,0.00010000,2020-01-07 00:00:00
19,BTCUSDT,0.00010000,2020-01-07 08:00:00
20,BTCUSDT,0.00010000,2020-01-07 16:00:00
21,BTCUSDT,0.00010000,2020-01-08 00:00:00
22,BTCUSDT,0.00012514,2020-01-08 08:00:00
23,BTCUSDT,0.00010000,2020-01-08 16:00:00
24,BTCUSDT,0.00010000,2020-01-09 00:00:00
25,BTCUSDT,0.00010000,2020-01-09 08:00:00
26,BTCUSDT,0.00010000,2020-01-09 16:00:00
27,BTCUSDT,0.00010000,2020-01-10 00:00:00
28,BTCUSDT,0.00010000,2020-01-10 08:00:00
29,BTCUSDT,0.00010000,2020-01-10 16:00:00
30,BTCUSDT,0.00010000,2020-01-11 00:00:00
31,BTCUSDT,0.00010000,2020-01-11 08:00:00
32,BTCUSDT,0.00017846,2020-01-11 16:00:00
33,BTCUSDT,0.00010000,2020-01-12 00:00:00
34,BTCUSDT,0.00010000,2020-01-12 08:00:00
35,BTCUSDT,0.00010000,2020-01-12 16:00:00
36,BTCUSDT,0.00010000,2020-01-13 00:00:00
37,BTCUSDT,0.00010000,2020-01-13 08:00:00
38,BTCUSDT,0.00010000,2020-01-13 16:00:00
39,BTCUSDT,0.00010000,2020-01-14 00:00:00
40,BTCUSDT,0.00010000,2020-01-14 08:00:00
41,BTCUSDT,0.00025900,2020-01-14 16:00:00
42,BTCUSDT,0.00010000,2020-01-15 00:00:00
43,BTCUSDT,0.00049392,2020-01-15 08:00:00
44,BTCUSDT,0.00019497,2020-01-15 16:00:00
45,BTCUSDT,0.00010000,2020-01-16 00:00:00
46,BTCUSDT,0.00010000,2020-01-16 08:00:00
47,BTCUSDT,0.00041191,2020-01-16 16:00:00
48,BTCUSDT,0.00031466,2020-01-17 00:00:00
49,BTCUSDT,0.00010000,2020-01-17 08:00:00
50,BTCUSDT,0.00015027,2020-01-17 16:00:00
51,BTCUSDT,0.00056749,2020-01-18 00:00:00
52,BTCUSDT,0.00010000,2020-01-18 08:00:00
53,BTCUSDT,0.00029182,2020-01-18 16:00:00
54,BTCUSDT,0.00032081,2020-01-19 00:00:00
55,BTCUSDT,0.00020041,2020-01-19 08:00:00
56,BTCUSDT,0.00039329,2020-01-19 16:00:00
57,BTCUSDT,0.00092467,2020-01-20 00:00:00
58,BTCUSDT,0.00029702,2020-01-20 08:00:00
59,BTCUSDT,0.00010000,2020-01-20 16:00:00
60,BTCUSDT,0.00010782,2020-01-21 00:00:00
61,BTCUSDT,0.00012057,2020-01-21 08:00:00
62,BTCUSDT,0.00015425,2020-01-21 16:00:00
63,BTCUSDT,0.00015740,2020-01-22 00:00:00
64,BTCUSDT,0.00010000,2020-01-22 08:00:00
65,BTCUSDT,0.00021392,2020-01-22 16:00:00
66,BTCUSDT,0.00010000,2020-01-23 00:00:00
67,BTCUSDT,0.00010000,2020-01-23 08:00:00
68,BTCUSDT,0.00010000,2020-01-23 16:00:00
69,BTCUSDT,0.00052304,2020-01-24 00:00:00
70,BTCUSDT,0.00054719,2020-01-24 08:00:00
71,BTCUSDT,0.00042124,2020-01-24 16:00:00
72,BTCUSDT,0.00017948,2020-01-25 00:00:00
73,BTCUSDT,0.00010000,2020-01-25 08:00:00
74,BTCUSDT,0.00010000,2020-01-25 16:00:00
75,BTCUSDT,0.00010000,2020-01-26 00:00:00
76,BTCUSDT,0.00010000,2020-01-26 08:00:00
77,BTCUSDT,0.00010000,2020-01-26 16:00:00
78,BTCUSDT,0.00010000,2020-01-27 00:00:00
79,BTCUSDT,0.00010000,2020-01-27 08:00:00
