,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
0,2024-06-30 16:00:00,61722.50,61754.10,61626.80,61666.60,913.669,1719764099999,56355753.01910,12712,323.838,19976771.53730,0
1,2024-06-30 16:15:00,61666.60,61678.70,61592.40,61601.80,574.096,1719764999999,35379668.41730,8472,189.464,11677106.58080,0
2,2024-06-30 16:30:00,61601.90,61660.20,61579.30,61628.10,529.156,1719765899999,32605160.49320,8181,301.120,18554806.60450,0
3,2024-06-30 16:45:00,61628.10,61658.90,61594.90,61600.00,402.690,1719766799999,24816666.57330,5987,152.251,9383498.66210,0
4,2024-06-30 17:00:00,61600.00,61639.90,61600.00,61611.30,387.876,1719767699999,23900006.93630,6240,252.843,15579372.39390,0
5,2024-06-30 17:15:00,61611.30,61869.10,61611.30,61794.90,2599.441,1719768599999,160621622.16290,30753,1449.964,89582038.76380,0
6,2024-06-30 17:30:00,61795.00,61842.20,61677.50,61700.70,2025.335,1719769499999,125098408.15580,21626,654.896,40448586.12230,0
7,2024-06-30 17:45:00,61700.60,61772.00,61632.90,61697.70,1259.933,1719770399999,77734576.71140,14152,400.901,24735400.77620,0
8,2024-06-30 18:00:00,61697.70,61748.20,61665.90,61699.50,543.388,1719771299999,33527728.30270,8838,315.841,19487314.06790,0
9,2024-06-30 18:15:00,61699.60,61755.60,61664.90,61747.90,431.542,1719772199999,26631361.81680,7087,219.182,13526421.11190,0
10,2024-06-30 18:30:00,61748.00,61819.90,61747.90,61819.80,772.127,1719773099999,47706612.01960,8359,594.835,36753153.54210,0
11,2024-06-30 18:45:00,61819.80,62099.50,61819.80,62057.40,5505.220,1719773999999,341176679.24030,50568,3466.666,214836376.05110,0
12,2024-06-30 19:00:00,62057.40,62100.00,61887.00,61916.90,2491.195,1719774899999,154412725.45020,27610,975.686,60479108.10380,0
13,2024-06-30 19:15:00,61916.90,62032.90,61916.90,61993.80,1037.054,1719775799999,64282395.02360,14999,508.206,31498488.91440,0
14,2024-06-30 19:30:00,61993.90,62085.60,61943.00,62068.20,954.513,1719776699999,59187532.21780,11797,584.290,36235630.53630,0
15,2024-06-30 19:45:00,62068.20,62100.00,61964.00,62016.80,1050.501,1719777599999,65168105.85050,14729,519.058,32200397.82130,0
16,2024-06-30 20:00:00,62016.80,62099.00,61987.30,62061.60,729.264,1719778499999,45250942.07180,12329,362.814,22512911.39110,0
17,2024-06-30 20:15:00,62061.70,62275.40,62042.70,62260.70,3199.469,1719779399999,198983936.73400,31930,2051.761,127597818.49470,0
18,2024-06-30 20:30:00,62260.80,62399.00,62112.00,62139.90,4078.975,1719780299999,254061162.97980,43382,2178.763,135725807.73720,0
19,2024-06-30 20:45:00,62139.40,62144.90,61968.50,61981.60,2104.452,1719781199999,130548504.07610,23636,851.802,52840006.64510,0
20,2024-06-30 21:00:00,61981.70,62010.70,61875.40,61897.90,1436.862,1719782099999,89011482.35510,17835,651.274,40348992.56030,0
21,2024-06-30 21:15:00,61897.90,61982.00,61857.20,61938.80,928.050,1719782999999,57467954.68970,14722,596.551,36942993.01010,0
22,2024-06-30 21:30:00,61938.80,61940.00,61879.00,61907.00,486.159,1719783899999,30095856.21630,9231,233.116,14430362.90520,0
23,2024-06-30 21:45:00,61906.90,61951.00,61825.40,61931.60,580.136,1719784799999,35905601.93040,10042,297.402,18410423.63950,0
24,2024-06-30 22:00:00,61931.70,62127.20,61924.60,62105.10,1421.503,1719785699999,88181822.90200,19479,842.866,52280828.98850,0
25,2024-06-30 22:15:00,62105.20,62948.60,62067.40,62948.50,10220.141,1719786599999,639505267.26920,95876,6696.283,418988086.92550,0
26,2024-06-30 22:30:00,62948.50,62955.30,62709.40,62848.50,4967.397,1719787499999,312105148.29390,52839,2032.105,127669415.42740,0
27,2024-06-30 22:45:00,62848.50,62946.60,62722.30,62894.90,2918.210,1719788399999,183401996.14530,33270,1260.976,79248190.70900,0
28,2024-06-30 23:00:00,62894.90,63058.40,62822.90,62851.50,4455.434,1719789299999,280491767.53470,46703,2321.552,146177510.32420,0
29,2024-06-30 23:15:00,62851.60,62942.30,62825.80,62898.90,1311.258,1719790199999,82465761.16270,21840,712.296,44797655.98120,0
30,2024-06-30 23:30:00,62898.90,62960.00,62858.00,62861.20,1092.319,1719791099999,68732171.90290,17155,502.708,31633280.50450,0
31,2024-06-30 23:45:00,62861.30,62871.10,62753.90,62766.00,1571.935,1719791999999,98733292.89550,21000,576.148,36193086.07950,0
32,2024-07-01 00:00:00,62766.10,62809.50,62562.00,62621.90,3007.979,1719792899999,188565586.00670,38061,1147.625,71952050.97890,0
33,2024-07-01 00:15:00,62621.90,62744.00,62611.20,62722.70,1352.395,1719793799999,84779094.22670,20181,854.170,53546546.86650,0
34,2024-07-01 00:30:00,62722.70,62838.40,62677.80,62790.90,1229.347,1719794699999,77159966.78470,18875,754.762,47375302.50460,0
35,2024-07-01 00:45:00,62790.80,62935.20,62786.70,62924.60,1567.080,1719795599999,98504449.48760,18641,756.141,47531989.60280,0
36,2024-07-01 01:00:00,62924.70,63686.50,62881.30,63642.70,14972.020,1719796499999,948666979.11440,118625,9418.136,596740779.96820,0
37,2024-07-01 01:15:00,63642.70,63650.00,63401.50,63475.30,4225.500,1719797399999,268250934.65430,47105,1881.008,119415704.94370,0
38,2024-07-01 01:30:00,63475.40,63672.90,63462.10,63615.20,2377.464,1719798299999,151115596.10230,32224,1237.458,78653249.21430,0
39,2024-07-01 01:45:00,63615.30,63730.00,63525.00,63631.90,3304.804,1719799199999,210265706.42640,34189,1871.609,119095064.65250,0
40,2024-07-01 02:00:00,63631.90,63800.00,63147.90,63505.10,6456.764,1719800099999,410695655.29430,67561,2873.827,182905974.43740,0
41,2024-07-01 02:15:00,63505.10,63603.60,63505.00,63560.40,1878.822,1719800999999,119384372.97830,28719,954.807,60670859.06960,0
42,2024-07-01 02:30:00,63560.40,63591.70,63337.50,63380.70,3087.807,1719801899999,195899937.11190,37358,1111.158,70502656.99170,0
43,2024-07-01 02:45:00,63380.80,63437.90,63266.50,63427.10,2021.118,1719802799999,128025347.11120,26892,1089.095,68992130.44120,0
44,2024-07-01 03:00:00,63427.10,63510.00,63380.00,63439.00,1387.956,1719803699999,88060404.36030,19354,745.277,47285089.24080,0
45,2024-07-01 03:15:00,63439.10,63481.50,63388.50,63442.20,1326.734,1719804599999,84164691.02080,16586,722.478,45833292.34510,0
46,2024-07-01 03:30:00,63442.20,63456.00,63316.90,63357.60,940.364,1719805499999,59599242.13680,16167,386.599,24504295.37530,0
47,2024-07-01 03:45:00,63357.60,63460.00,63357.60,63416.40,617.586,1719806399999,39165936.05170,10899,354.347,22473017.00300,0
48,2024-07-01 04:00:00,63416.50,63453.70,63346.60,63380.40,814.934,1719807299999,51662351.55500,13623,395.808,25093121.58760,0
49,2024-07-01 04:15:00,63380.50,63421.60,63320.00,63325.40,633.914,1719808199999,40167915.94840,11300,249.939,15838178.11540,0
50,2024-07-01 04:30:00,63325.40,63347.00,63200.00,63211.60,1824.793,1719809099999,115438597.09780,20129,666.380,42155279.72190,0
51,2024-07-01 04:45:00,63211.60,63299.70,63208.00,63262.90,981.005,1719809999999,62048471.18620,12690,612.124,38717709.65160,0
52,2024-07-01 05:00:00,63263.00,63349.80,63243.60,63319.70,839.577,1719810899999,53158100.44170,11118,591.338,37440429.20190,0
53,2024-07-01 05:15:00,63319.80,63414.00,63298.40,63379.70,1101.195,1719811799999,69782203.92280,12706,594.048,37642557.18100,0
54,2024-07-01 05:30:00,63379.70,63435.50,63355.00,63374.00,667.495,1719812699999,42314476.39000,11212,348.936,22120570.64480,0
55,2024-07-01 05:45:00,63374.00,63440.00,63371.60,63410.40,439.033,1719813599999,27835871.64980,8713,226.057,14332282.04740,0
56,2024-07-01 06:00:00,63410.50,63440.60,63354.90,63354.90,574.141,1719814499999,36403613.31710,10465,266.699,16910829.70130,0
57,2024-07-01 06:15:00,63355.00,63372.20,63267.50,63367.50,1008.934,1719815399999,63880989.82440,12538,428.002,27101332.71180,0
58,2024-07-01 06:30:00,63367.50,63408.50,63328.10,63342.30,670.737,1719816299999,42496241.05220,9011,352.039,22305388.20420,0
59,2024-07-01 06:45:00,63342.40,63440.00,63313.30,63381.70,728.648,1719817199999,46179763.35190,9607,400.811,25403531.11130,0
60,2024-07-01 07:00:00,63381.70,63419.10,63326.00,63419.00,645.444,1719818099999,40905654.93900,10213,320.011,20281963.76240,0
61,2024-07-01 07:15:00,63419.10,63419.10,63283.60,63291.00,820.388,1719818999999,51959912.88870,11773,371.013,23499398.43570,0
62,2024-07-01 07:30:00,63291.00,63350.10,63280.30,63320.90,1108.482,1719819899999,70177315.78830,13718,697.590,44164665.82560,0
63,2024-07-01 07:45:00,63320.80,63351.30,63232.20,63265.50,702.160,1719820799999,44426086.19730,10216,308.321,19507884.74600,0
64,2024-07-01 08:00:00,63265.50,63302.70,63236.50,63242.30,711.480,1719821699999,45010010.08180,10725,341.782,21623610.34710,0
65,2024-07-01 08:15:00,63242.30,63277.60,63059.50,63105.00,2852.662,1719822599999,180112938.45410,29078,1125.428,71057875.39690,0
66,2024-07-01 08:30:00,63105.00,63118.00,62819.00,62874.70,4638.693,1719823499999,292004346.72380,48297,1901.036,119655553.73720,0
67,2024-07-01 08:45:00,62874.80,62981.80,62830.00,62910.00,2609.088,1719824399999,164175748.00790,31672,1392.187,87607771.56400,0
68,2024-07-01 09:00:00,62910.10,62988.00,62851.00,62873.90,1329.007,1719825299999,83623538.69540,19210,683.848,43035072.99970,0
69,2024-07-01 09:15:00,62873.90,62914.50,62761.30,62822.60,1888.740,1719826199999,118668892.70880,24980,878.844,55218637.15940,0
70,2024-07-01 09:30:00,62822.70,62937.10,62822.60,62865.10,829.894,1719827099999,52193655.36520,12813,498.937,31378021.19440,0
71,2024-07-01 09:45:00,62865.00,62961.80,62835.00,62920.20,1117.465,1719827999999,70295531.25050,13569,564.966,35540753.97710,0
72,2024-07-01 10:00:00,62920.30,62970.00,62875.90,62884.40,1319.492,1719828899999,83038009.28690,14929,709.211,44634496.19970,0
73,2024-07-01 10:15:00,62884.30,62936.80,62834.00,62863.60,799.729,1719829799999,50283696.27420,10493,420.442,26435922.06490,0
74,2024-07-01 10:30:00,62863.60,62937.50,62763.00,62832.00,1085.597,1719830699999,68219548.59300,13041,484.719,30467074.39080,0
75,2024-07-01 10:45:00,62831.90,62880.40,62788.60,62841.90,753.325,1719831599999,47336181.32120,12126,441.407,27738234.32900,0
76,2024-07-01 11:00:00,62841.90,62853.80,62717.00,62795.10,1432.630,1719832499999,89937738.72380,18656,666.997,41874577.56340,0
77,2024-07-01 11:15:00,62795.10,62845.30,62680.80,62739.90,1733.627,1719833399999,108752103.09000,23546,777.735,48795059.11200,0
78,2024-07-01 11:30:00,62739.80,62759.10,62660.20,62734.90,1128.502,1719834299999,70763667.79410,17069,589.413,36958994.84360,0
79,2024-07-01 11:45:00,62734.90,62734.90,62580.00,62657.90,2209.471,1719835199999,138380289.02390,22749,977.849,61244924.24780,0
80,2024-07-01 12:00:00,62657.90,62841.30,62633.00,62674.50,2641.099,1719836099999,165682619.82670,27157,1615.886,101366995.77490,0
81,2024-07-01 12:15:00,62674.50,62770.70,62662.80,62750.20,974.254,1719836999999,61104837.70670,15103,540.870,33925203.32340,0
82,2024-07-01 12:30:00,62750.30,62887.50,62721.90,62840.30,1700.168,1719837899999,106801199.72130,20994,978.515,61468724.70640,0
83,2024-07-01 12:45:00,62840.30,62890.00,62784.30,62868.40,1049.751,1719838799999,65977627.91980,15499,521.938,32806698.84060,0
84,2024-07-01 13:00:00,62868.30,62988.20,62780.80,62814.60,2302.042,1719839699999,144774004.18360,25537,1313.206,82602824.65820,0
85,2024-07-01 13:15:00,62814.70,62941.10,62669.00,62941.00,2646.657,1719840599999,166128263.25590,27717,1446.774,90821950.93830,0
86,2024-07-01 13:30:00,62941.00,63074.50,62666.00,62700.00,4619.352,1719841499999,290497792.53920,46938,2252.828,141721626.10480,0
87,2024-07-01 13:45:00,62699.90,62740.70,62502.20,62676.00,5849.299,1719842399999,366296611.71510,55700,3436.738,215232088.06430,0
88,2024-07-01 14:00:00,62676.00,62897.00,62600.00,62606.70,3320.458,1719843299999,208338457.62570,43337,1701.824,106783570.20060,0
89,2024-07-01 14:15:00,62606.60,62859.30,62597.40,62816.50,2229.347,1719844199999,139902462.25730,28748,1188.016,74555372.41830,0
90,2024-07-01 14:30:00,62816.40,62935.60,62750.70,62837.20,2391.889,1719845099999,150325381.77880,28456,1364.023,85730077.18890,0
91,2024-07-01 14:45:00,62837.20,62876.00,62760.00,62809.60,1424.578,1719845999999,89477791.32950,18887,561.379,35263186.19350,0
92,2024-07-01 15:00:00,62809.70,63066.40,62802.80,63013.30,3453.087,1719846899999,217383719.39200,30979,2004.840,126223072.38640,0
93,2024-07-01 15:15:00,63013.20,63015.40,62809.10,62923.60,2030.944,1719847799999,127802268.62590,22488,799.771,50329360.32790,0
94,2024-07-01 15:30:00,62923.50,62991.90,62846.70,62916.00,979.131,1719848699999,61620319.16160,15774,384.828,24220076.85090,0
95,2024-07-01 15:45:00,62916.10,63182.50,62911.10,63119.90,2507.750,1719849599999,158139265.92470,26508,1600.168,100931455.18590,0
