,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
0,2024-06-30 16:00:00,143.7360,143.8610,143.1130,143.2980,128846,1719764099999,18486295.5370,12542,46250,6637419.0860,0
1,2024-06-30 16:15:00,143.3000,143.4460,142.7150,142.8990,98965,1719764999999,14154713.6720,11687,38153,5456195.1670,0
2,2024-06-30 16:30:00,142.9000,143.3860,142.7630,143.1890,76191,1719765899999,10899239.7550,9100,45002,6437520.5180,0
3,2024-06-30 16:45:00,143.1890,143.3570,142.9840,143.1500,53695,1719766799999,7688115.6370,6579,24558,3516675.5380,0
4,2024-06-30 17:00:00,143.1510,143.3990,142.9560,142.9570,36781,1719767699999,5268390.6350,6304,16823,2409944.2180,0
5,2024-06-30 17:15:00,142.9570,144.2350,142.9370,143.7090,156308,1719768599999,22478678.6180,19229,81071,11658654.9120,0
6,2024-06-30 17:30:00,143.7090,144.0000,143.5040,143.7350,65967,1719769499999,9483107.2110,8669,32498,4672316.1560,0
7,2024-06-30 17:45:00,143.7350,144.1570,143.6390,143.9860,66396,1719770399999,9554345.2540,8243,37058,5332258.6220,0
8,2024-06-30 18:00:00,143.9860,144.1380,143.7710,144.0000,69825,1719771299999,10052464.8400,9126,29920,4307815.9430,0
9,2024-06-30 18:15:00,143.9990,144.5190,143.7150,144.3280,112145,1719772199999,16173072.1130,13029,62491,9012667.4080,0
10,2024-06-30 18:30:00,144.3280,145.1200,144.2090,145.0730,136870,1719773099999,19809484.7360,14511,81556,11805866.3510,0
11,2024-06-30 18:45:00,145.0730,145.8500,145.0730,145.2440,293341,1719773999999,42667837.1150,31629,151417,22025745.8910,0
12,2024-06-30 19:00:00,145.2440,145.3090,144.4930,144.6960,166726,1719774899999,24143984.1540,17774,73660,10667685.9270,0
13,2024-06-30 19:15:00,144.7050,145.0580,144.4110,144.9410,89406,1719775799999,12944734.4870,10726,50939,7376344.5300,0
14,2024-06-30 19:30:00,144.9310,145.1600,144.5630,145.0700,67536,1719776699999,9781641.0150,8630,35835,5190839.6350,0
15,2024-06-30 19:45:00,145.0780,145.1390,144.5360,144.7410,65206,1719777599999,9446689.1690,8377,33949,4918864.3100,0
16,2024-06-30 20:00:00,144.7410,144.9180,144.5560,144.7140,48755,1719778499999,7056805.5440,7199,25791,3733204.6770,0
17,2024-06-30 20:15:00,144.7040,145.8900,144.6910,145.5980,143909,1719779399999,20925054.9640,15490,88925,12930433.6740,0
18,2024-06-30 20:30:00,145.5980,145.7680,144.7850,145.0780,178076,1719780299999,25865398.8910,17323,85748,12453123.0430,0
19,2024-06-30 20:45:00,145.0870,145.1320,144.3300,144.3330,112487,1719781199999,16273066.2520,11545,41715,6034883.3770,0
20,2024-06-30 21:00:00,144.3320,144.6340,144.0210,144.2410,144613,1719782099999,20857721.5710,14093,59899,8641069.3000,0
21,2024-06-30 21:15:00,144.2400,144.6980,144.0600,144.4640,95361,1719782999999,13766719.6370,9384,56648,8179241.1690,0
22,2024-06-30 21:30:00,144.4640,144.5490,144.1190,144.1550,38619,1719783899999,5572538.1620,4494,12958,1869633.0800,0
23,2024-06-30 21:45:00,144.1550,144.7630,143.8120,144.4150,76100,1719784799999,10970718.1310,8771,35482,5116769.4260,0
24,2024-06-30 22:00:00,144.4120,145.2220,144.4120,145.1380,86352,1719785699999,12510756.0370,10928,49734,7206546.1940,0
25,2024-06-30 22:15:00,145.1370,147.5740,144.7840,147.1790,421364,1719786599999,61707741.4100,44838,241099,35298564.0410,0
26,2024-06-30 22:30:00,147.1880,147.5550,146.5830,146.9850,345028,1719787499999,50724942.7980,34278,144084,21185497.9870,0
27,2024-06-30 22:45:00,146.9850,147.1410,146.5050,146.9640,189070,1719788399999,27777347.3890,18285,92514,13591514.9960,0
28,2024-06-30 23:00:00,146.9630,147.2190,146.4570,146.5950,116634,1719789299999,17127707.6210,13312,52071,7647690.5510,0
29,2024-06-30 23:15:00,146.5950,146.9640,146.3030,146.7650,90984,1719790199999,13346586.3150,10356,52276,7669857.2680,0
30,2024-06-30 23:30:00,146.7660,146.9330,146.5200,146.5450,65020,1719791099999,9542102.3940,8485,29706,4360297.4560,0
31,2024-06-30 23:45:00,146.5460,146.8320,146.3800,146.5820,62361,1719791999999,9141430.3660,8030,29780,4365429.1320,0
32,2024-07-01 00:00:00,146.5820,146.7450,145.9170,146.2250,141309,1719792899999,20671229.7110,15341,54156,7921413.1200,0
33,2024-07-01 00:15:00,146.2250,146.9800,146.0250,146.9440,106142,1719793799999,15557389.9300,12389,56957,8350532.4380,0
34,2024-07-01 00:30:00,146.9450,148.1990,146.7380,147.7730,194709,1719794699999,28727422.4630,21708,113833,16796328.4370,0
35,2024-07-01 00:45:00,147.7730,147.9980,147.2360,147.7410,101291,1719795599999,14956945.4120,12468,48087,7100965.0770,0
36,2024-07-01 01:00:00,147.7410,149.1150,147.2990,148.5450,363042,1719796499999,53862099.4470,36191,193037,28646594.1280,0
37,2024-07-01 01:15:00,148.5460,148.6750,147.7380,147.8810,170963,1719797399999,25327411.1440,19587,73439,10880871.4260,0
38,2024-07-01 01:30:00,147.8820,148.4990,147.6790,148.3830,108612,1719798299999,16080375.6300,13745,55450,8210429.6690,0
