,capacity,turnover,open,high,low,close,change,transaction,trend,MA5
2023-01-13,81848755,41113175651,507.0,509.0,499.0,500.0,13.5,93121,0,487.6
2023-01-16,38781925,19573968332,506.0,508.0,503.0,505.0,5.0,48051,1,492.4
2023-01-17,29443522,14784661794,504.0,504.0,499.5,503.0,-2.0,27930,1,495.8
2023-01-30,148413161,80057158264,542.0,543.0,534.0,543.0,40.0,153125,2,507.5
2023-01-31,79212272,41736937234,537.0,538.0,521.0,522.0,-21.0,74279,2,514.6
2023-02-01,42539626,22450948467,532.0,533.0,522.0,530.0,8.0,31487,3,520.6
2023-02-02,46523592,25091483557,538.0,542.0,537.0,540.0,10.0,45495,4,527.6
2023-02-03,34156234,18439613447,540.0,542.0,536.0,542.0,2.0,39674,5,535.4
2023-02-06,32208918,17041821849,532.0,533.0,526.0,526.0,-16.0,46279,4,532.0
2023-02-07,24362116,12767910080,524.0,528.0,522.0,523.0,-3.0,28519,3,532.2
2023-02-08,37633169,20247927642,538.0,540.0,534.0,540.0,17.0,43495,4,534.2
2023-02-09,22311345,12026317167,540.0,540.0,536.0,540.0,0.0,19698,5,534.2
2023-02-10,30445088,16545221176,544.0,546.0,541.0,545.0,5.0,40984,6,534.8
2023-02-13,23903151,12921896752,544.0,544.0,538.0,541.0,-4.0,22431,6,537.8
2023-02-14,23855974,12990943260,544.0,546.0,543.0,545.0,4.0,27983,7,542.2
2023-02-15,66068713,34751111404,526.0,532.0,522.0,525.0,-20.0,103433,6,539.2
2023-02-16,33509968,17692691883,528.0,531.0,524.0,528.0,3.0,27033,6,536.8
2023-02-17,29673053,15385668299,524.0,524.0,516.0,518.0,-10.0,55965,5,531.4
2023-02-20,21181235,10928087780,514.0,519.0,511.0,517.0,-1.0,25898,4,526.6
2023-02-21,15097509,7771141142,515.0,517.0,513.0,516.0,-1.0,27200,3,520.8
2023-02-22,26578867,13474662693,506.0,509.0,505.0,507.0,-9.0,47843,2,517.2
2023-02-23,26801677,13846782345,512.0,521.0,510.0,518.0,11.0,26552,3,515.2
2023-02-24,48372303,24932422713,524.0,525.0,511.0,511.0,-7.0,29612,2,513.8
2023-03-01,45971058,23624972884,504.0,522.0,504.0,522.0,11.0,31738,3,514.8
2023-03-02,18017085,9344352321,519.0,520.0,515.0,519.0,-3.0,14320,3,515.4
2023-03-03,24117189,12510608773,524.0,525.0,516.0,516.0,-3.0,22160,2,517.2
2023-03-06,24741125,12883854256,520.0,524.0,517.0,521.0,5.0,20678,3,517.8
2023-03-07,27650283,14465320023,521.0,526.0,519.0,524.0,3.0,20595,4,520.4
2023-03-08,27077587,14091713576,521.0,523.0,518.0,521.0,-3.0,20504,4,520.2
2023-03-09,25639391,13430582677,525.0,526.0,522.0,522.0,1.0,16497,5,520.8
2023-03-10,25572403,13122265260,515.0,516.0,511.0,513.0,-9.0,46216,4,520.2
2023-03-13,22568740,11608973891,513.0,518.0,509.0,516.0,3.0,24150,4,519.2
2023-03-14,26599476,13602260966,511.0,514.0,510.0,510.0,-6.0,24848,3,516.4
2023-03-15,24080361,12350942139,515.0,516.0,510.0,511.0,1.0,21075,3,514.4
2023-03-16,23325664,11809911840,505.0,510.0,504.0,505.0,0.0,33493,2,511.0
2023-03-17,35872881,18538033584,516.0,518.0,513.0,518.0,13.0,21217,3,512.0
2023-03-20,12752221,6542889562,517.0,518.0,510.0,512.0,-6.0,17709,3,511.2
2023-03-21,18519120,9534730452,515.0,517.0,512.0,517.0,5.0,14094,4,512.6
2023-03-22,45681056,24168561556,524.0,533.0,524.0,533.0,16.0,56483,5,517.0
2023-03-23,28614856,15307492846,528.0,539.0,528.0,538.0,5.0,35313,6,523.6
2023-03-24,22963771,12348311773,536.0,539.0,535.0,539.0,1.0,24762,7,527.8
2023-03-27,17170557,9148085033,533.0,536.0,531.0,531.0,-8.0,17484,6,531.6
2023-03-28,18327556,9629323504,525.0,530.0,524.0,525.0,-6.0,20744,5,533.2
